,peak_ind,gene_ind
652,8,2841
653,8,3024
654,8,3335
655,8,4654
656,8,5130
657,8,5164
658,9,165
659,10,7
660,10,13
661,10,14
662,10,15
663,10,19
664,10,25
665,10,32
666,10,34
667,10,36
668,10,38
669,10,40
670,10,44
671,10,50
672,10,53
673,10,61
674,10,63
675,10,71
676,10,73
677,10,86
678,10,87
679,10,100
680,10,108
681,10,116
682,10,117
683,10,120
684,10,128
685,10,138
686,10,139
687,10,140
688,10,142
689,10,160
690,10,164
691,10,167
692,10,177
693,10,195
694,10,209
695,10,216
696,10,219
697,10,229
698,10,247
699,10,256
700,10,275
701,10,281
702,10,286
703,10,341
704,10,350
705,10,353
706,10,445
707,10,519
708,10,520
709,10,530
710,10,544
711,10,612
712,10,627
713,10,675
714,10,728
715,10,761
716,10,771
717,10,822
718,10,849
719,10,896
720,10,945
721,10,999
722,10,1042
723,10,1112
724,10,1141
725,10,1273
726,10,1321
727,10,1661
728,10,1758
729,10,2231
730,10,2233
731,10,3590
732,11,9148
733,12,7265
734,13,187
735,13,215
736,13,338
737,13,340
738,13,368
739,13,521
740,13,538
741,13,548
742,13,569
743,13,725
744,13,726
745,13,740
746,13,839
747,13,940
748,13,1040
749,14,114
750,14,157
751,14,187
752,14,196
753,14,213
754,14,215
755,14,222
756,14,259
757,14,260
758,14,305
759,14,307
760,14,322
761,14,323
762,14,327
763,14,338
764,14,340
765,14,342
766,14,346
767,14,359
768,14,368
769,14,404
770,14,409
771,14,428
772,14,444
773,14,447
774,14,473
775,14,478
776,14,483
777,14,487
778,14,521
779,14,533
780,14,540
781,14,548
782,14,555
783,14,561
784,14,578
785,14,599
786,14,604
787,14,609
788,14,638
789,14,669
790,14,698
791,14,701
792,14,725
793,14,726
794,14,743
795,14,765
796,14,774
797,14,779
798,14,787
799,14,793
800,14,814
801,14,818
802,14,821
803,14,834
804,14,839
805,14,853
806,14,856
807,14,900
808,14,908
809,14,910
810,14,936
811,14,941
812,14,948
813,14,954
814,14,978
815,14,1032
816,14,1040
817,14,1043
818,14,1055
819,14,1058
820,14,1100
821,14,1146
822,14,1163
823,14,1199
824,14,1204
825,14,1229
826,14,1231
827,14,1236
828,14,1241
829,14,1272
830,14,1275
831,14,1291
832,14,1292
833,14,1293
834,14,1298
835,14,1312
836,14,1314
837,14,1327
838,14,1328
839,14,1334
840,14,1335
841,14,1342
842,14,1344
843,14,1441
844,14,1448
845,14,1461
846,14,1466
847,14,1469
848,14,1495
849,14,1498
850,14,1505
851,14,1506
852,14,1509
853,14,1538
854,14,1539
855,14,1545
856,14,1549
857,14,1562
858,14,1567
859,14,1579
860,14,1581
861,14,1625
862,14,1633
863,14,1646
864,14,1664
865,14,1678
866,14,1686
867,14,1689
868,14,1699
869,14,1719
870,14,1725
871,14,1744
872,14,1750
873,14,1789
874,14,1794
875,14,1827
876,14,1858
877,14,1862
878,14,1864
879,14,1955
880,14,1970
881,14,2108
882,14,2109
883,14,2121
884,14,2122
885,14,2127
886,14,2137
887,14,2155
888,14,2157
889,14,2173
890,14,2181
891,14,2210
892,14,2223
893,14,2270
894,14,2274
895,14,2282
896,14,2285
897,14,2297
898,14,2313
899,14,2324
900,14,2327
901,14,2375
902,14,2378
903,14,2382
904,14,2419
905,14,2421
906,14,2424
907,14,2427
908,14,2467
909,14,2528
910,14,2531
911,14,2645
912,14,2647
913,14,2674
914,14,2676
915,14,2690
916,14,2729
917,14,2764
918,14,2770
919,14,2779
920,14,2783
921,14,2785
922,14,2792
923,14,2816
924,14,2841
925,14,2867
926,14,2872
927,14,2890
928,14,2895
929,14,2917
930,14,2950
931,14,2997
932,14,3024
933,14,3078
934,14,3175
935,14,3208
936,14,3226
937,14,3243
938,14,3301
939,14,3326
940,14,3335
941,14,3360
942,14,3399
943,14,3450
944,14,3457
945,14,3479
946,14,3482
947,14,3499
948,14,3502
949,14,3506
950,14,3510
951,14,3520
952,14,3562
953,14,3574
954,14,3576
955,14,3587
956,14,3609
957,14,3624
958,14,3723
959,14,3729
960,14,3731
961,14,3753
962,14,3760
963,14,3777
964,14,3857
965,14,3862
966,14,3894
967,14,3916
968,14,3930
969,14,3950
970,14,3951
971,14,3971
972,14,3987
973,14,3993
974,14,4008
975,14,4014
976,14,4031
977,14,4120
978,14,4132
979,14,4262
980,14,4311
981,14,4369
982,14,4449
983,14,4506
984,14,4508
985,14,4546
986,14,4654
987,14,4762
988,14,4839
989,14,4934
990,14,4941
991,14,5010
992,14,5054
993,14,5130
994,14,5162
995,14,5164
996,14,5371
997,14,5376
998,14,5389
999,14,5421
1000,14,5458
1001,14,5489
1002,14,5495
1003,14,5517
1004,14,5795
1005,14,5847
1006,14,5921
1007,14,5977
1008,14,6107
1009,14,6204
1010,14,6255
1011,14,6330
1012,14,6377
1013,14,6591
1014,14,9783
1015,14,9918
1016,14,9936
1017,15,3
1018,15,20
1019,15,48
1020,15,66
1021,15,76
1022,15,79
1023,15,82
1024,15,98
1025,15,121
1026,15,126
1027,15,129
1028,15,154
1029,15,171
1030,15,198
1031,15,201
1032,15,234
1033,15,242
1034,15,250
1035,15,306
1036,15,361
1037,15,378
1038,15,429
1039,15,527
1040,15,603
1041,15,668
1042,15,1101
1043,15,1757
1044,16,7601
1045,16,7710
1046,16,8181
1047,16,8462
1048,16,8497
1049,16,9332
1050,17,202
1051,17,203
1052,17,228
1053,17,259
1054,17,314
1055,17,340
1056,17,342
1057,17,346
1058,17,368
1059,17,381
1060,17,444
1061,17,447
1062,17,555
1063,17,609
1064,17,726
1065,17,743
1066,17,839
1067,17,1199
1068,17,1231
1069,17,1441
1070,17,1789
1071,17,2137
1072,17,2196
1073,17,2382
1074,17,2528
1075,17,2792
1076,17,3243
1077,17,4654
1078,17,4941
1079,17,5489
1080,17,6204
1081,18,114
1082,18,157
1083,18,187
1084,18,196
1085,18,213
1086,18,215
1087,18,222
1088,18,259
1089,18,260
1090,18,305
1091,18,307
1092,18,322
1093,18,323
1094,18,327
1095,18,338
1096,18,339
1097,18,340
1098,18,342
1099,18,346
1100,18,359
1101,18,368
1102,18,404
1103,18,409
1104,18,428
1105,18,444
1106,18,447
1107,18,473
1108,18,478
1109,18,483
1110,18,487
1111,18,521
1112,18,533
1113,18,540
1114,18,548
1115,18,555
1116,18,578
1117,18,599
1118,18,604
1119,18,609
1120,18,638
1121,18,669
1122,18,698
1123,18,701
1124,18,725
1125,18,726
1126,18,743
1127,18,765
1128,18,774
1129,18,779
1130,18,787
1131,18,793
1132,18,814
1133,18,821
1134,18,834
1135,18,839
1136,18,853
1137,18,856
1138,18,900
1139,18,908
1140,18,910
1141,18,936
1142,18,941
1143,18,954
1144,18,1032
1145,18,1040
1146,18,1043
1147,18,1055
1148,18,1058
1149,18,1100
1150,18,1146
1151,18,1163
1152,18,1199
1153,18,1204
1154,18,1229
1155,18,1231
1156,18,1236
1157,18,1241
1158,18,1272
1159,18,1275
1160,18,1291
1161,18,1292
1162,18,1293
1163,18,1298
1164,18,1312
1165,18,1314
1166,18,1328
1167,18,1334
1168,18,1335
1169,18,1342
1170,18,1344
1171,18,1441
1172,18,1448
1173,18,1461
1174,18,1469
1175,18,1481
1176,18,1495
1177,18,1498
1178,18,1505
1179,18,1506
1180,18,1538
1181,18,1539
1182,18,1545
1183,18,1549
1184,18,1562
1185,18,1567
1186,18,1579
1187,18,1581
1188,18,1633
1189,18,1646
1190,18,1664
1191,18,1678
1192,18,1686
1193,18,1689
1194,18,1699
1195,18,1719
1196,18,1744
1197,18,1750
1198,18,1789
1199,18,1794
1200,18,1827
1201,18,1858
1202,18,1862
1203,18,1864
1204,18,1955
1205,18,1970
1206,18,2108
1207,18,2109
1208,18,2121
1209,18,2122
1210,18,2127
1211,18,2137
1212,18,2143
1213,18,2155
1214,18,2157
1215,18,2173
1216,18,2181
1217,18,2190
1218,18,2223
1219,18,2270
1220,18,2274
1221,18,2282
1222,18,2285
1223,18,2297
1224,18,2313
1225,18,2324
1226,18,2375
1227,18,2378
1228,18,2382
1229,18,2421
1230,18,2424
1231,18,2427
1232,18,2467
1233,18,2528
1234,18,2531
1235,18,2645
1236,18,2647
1237,18,2676
1238,18,2690
1239,18,2729
1240,18,2764
1241,18,2770
1242,18,2779
1243,18,2783
1244,18,2792
1245,18,2816
1246,18,2841
1247,18,2867
1248,18,2872
1249,18,2890
1250,18,2895
1251,18,2917
1252,18,2950
1253,18,2997
1254,18,3024
1255,18,3078
1256,18,3175
1257,18,3208
1258,18,3226
1259,18,3243
1260,18,3301
1261,18,3335
1262,18,3360
1263,18,3399
1264,18,3457
1265,18,3482
1266,18,3499
1267,18,3502
1268,18,3506
1269,18,3510
1270,18,3520
1271,18,3576
1272,18,3609
1273,18,3624
1274,18,3729
1275,18,3760
1276,18,3777
1277,18,3857
1278,18,3862
1279,18,3894
1280,18,3916
1281,18,3950
1282,18,3951
1283,18,3971
1284,18,3987
1285,18,3993
1286,18,4008
1287,18,4014
1288,18,4031
1289,18,4120
1290,18,4311
1291,18,4349
1292,18,4449
1293,18,4506
1294,18,4508
1295,18,4546
1296,18,4623
1297,18,4654
1298,18,4762
1299,18,4934
1300,18,4941
1301,18,5010
1302,18,5054
1303,18,5162
1304,18,5164
1305,18,5371
1306,18,5389
1307,18,5458
1308,18,5489
1309,18,5517
1310,18,5636
1311,18,5795
1312,18,5847
1313,18,5921
1314,18,5977
1315,18,6107
1316,18,6330
1317,18,6591
1318,18,9783
1319,18,9918
1320,18,9936
1321,19,7126
1322,20,7229
1323,20,9313
1324,22,8628
1325,24,4
1326,24,62
1327,24,194
1328,24,248
1329,26,8074
1330,26,9291
1331,28,1
1332,28,7
1333,28,14
1334,28,15
1335,28,19
1336,28,25
1337,28,32
1338,28,34
1339,28,36
1340,28,38
1341,28,40
1342,28,44
1343,28,50
1344,28,53
1345,28,61
1346,28,63
1347,28,71
1348,28,73
1349,28,86
1350,28,108
1351,28,116
1352,28,117
1353,28,120
1354,28,128
1355,28,138
1356,28,142
1357,28,160
1358,28,164
1359,28,167
1360,28,177
1361,28,195
1362,28,209
1363,28,247
1364,28,256
1365,28,286
1366,28,353
1367,28,530
1368,28,544
1369,28,600
1370,28,612
1371,28,627
1372,28,675
1373,28,728
1374,28,761
1375,28,771
1376,28,822
1377,28,849
1378,28,896
1379,28,945
1380,28,1042
1381,28,1151
1382,28,1321
1383,28,1661
1384,28,1758
1385,29,215
1386,29,222
1387,29,259
1388,29,338
1389,29,340
1390,29,342
1391,29,346
1392,29,368
1393,29,521
1394,29,524
1395,29,599
1396,29,726
1397,29,779
1398,29,793
1399,29,839
1400,29,936
1401,29,1040
1402,30,7048
1403,30,7265
1404,30,7556
1405,30,7580
1406,30,7723
1407,30,7862
1408,30,8093
1409,30,9291
1410,30,9381
1411,30,9399
1412,31,187
1413,31,213
1414,31,215
1415,31,222
1416,31,228
1417,31,259
1418,31,327
1419,31,338
1420,31,340
1421,31,342
1422,31,346
1423,31,368
1424,31,428
1425,31,478
1426,31,487
1427,31,521
1428,31,548
1429,31,599
1430,31,659
1431,31,698
1432,31,725
1433,31,726
1434,31,765
1435,31,779
1436,31,787
1437,31,793
1438,31,821
1439,31,839
1440,31,853
1441,31,900
1442,31,910
1443,31,936
1444,31,941
1445,31,954
1446,31,1040
1447,31,1146
1448,31,1292
1449,31,1427
1450,31,1481
1451,31,1495
1452,31,1498
1453,31,1505
1454,31,1539
1455,31,1545
1456,31,1664
1457,31,1678
1458,31,1686
1459,31,1689
1460,31,1750
1461,31,2120
1462,31,2270
1463,31,2297
1464,31,2375
1465,31,2427
1466,31,2467
1467,31,2890
1468,31,3301
1469,31,3624
1470,31,3777
1471,31,4031
1472,31,5458
1473,31,5977
1474,33,3
1475,33,20
1476,33,48
1477,33,66
1478,33,76
1479,33,79
1480,33,82
1481,33,98
1482,33,121
1483,33,126
1484,33,129
1485,33,154
1486,33,171
1487,33,198
1488,33,201
1489,33,234
1490,33,242
1491,33,250
1492,33,306
1493,33,359
1494,33,378
1495,33,429
1496,33,756
1497,33,1100
1498,33,1101
1499,33,1163
1500,34,187
1501,34,213
1502,34,215
1503,34,222
1504,34,228
1505,34,259
1506,34,305
1507,34,307
1508,34,323
1509,34,327
1510,34,338
1511,34,340
1512,34,342
1513,34,346
1514,34,359
1515,34,368
1516,34,404
1517,34,428
1518,34,444
1519,34,473
1520,34,478
1521,34,487
1522,34,521
1523,34,548
1524,34,599
1525,34,659
1526,34,698
1527,34,701
1528,34,725
1529,34,726
1530,34,743
1531,34,765
1532,34,779
1533,34,787
1534,34,793
1535,34,821
1536,34,839
1537,34,853
1538,34,900
1539,34,910
1540,34,936
1541,34,941
1542,34,954
1543,34,1032
1544,34,1040
1545,34,1146
1546,34,1241
1547,34,1272
1548,34,1291
1549,34,1292
1550,34,1293
1551,34,1312
1552,34,1328
1553,34,1448
1554,34,1461
1555,34,1481
1556,34,1495
1557,34,1498
1558,34,1505
1559,34,1538
1560,34,1539
1561,34,1545
1562,34,1633
1563,34,1664
1564,34,1686
1565,34,1689
1566,34,1699
1567,34,1719
1568,34,1750
1569,34,1789
1570,34,1794
1571,34,1827
1572,34,1864
1573,34,1970
1574,34,2109
1575,34,2120
1576,34,2143
1577,34,2157
1578,34,2173
1579,34,2181
1580,34,2270
1581,34,2274
1582,34,2285
1583,34,2297
1584,34,2313
1585,34,2324
1586,34,2375
1587,34,2421
1588,34,2427
1589,34,2467
1590,34,2645
1591,34,2647
1592,34,2690
1593,34,2729
1594,34,2770
1595,34,2779
1596,34,2783
1597,34,2816
1598,34,2867
1599,34,2890
1600,34,2895
1601,34,2917
1602,34,2950
1603,34,2997
1604,34,3175
1605,34,3226
1606,34,3301
1607,34,3360
1608,34,3399
1609,34,3457
1610,34,3482
1611,34,3499
1612,34,3502
1613,34,3506
1614,34,3510
1615,34,3609
1616,34,3624
1617,34,3729
1618,34,3777
1619,34,3857
1620,34,3862
1621,34,3894
1622,34,3950
1623,34,3971
1624,34,3987
1625,34,3993
1626,34,4031
1627,34,4449
1628,34,4546
1629,34,4623
1630,34,4941
1631,34,5054
1632,34,5162
1633,34,5371
1634,34,5458
1635,34,5921
1636,34,5977
1637,35,3
1638,35,20
1639,35,48
1640,35,66
1641,35,76
1642,35,79
1643,35,82
1644,35,98
1645,35,121
1646,35,126
1647,35,129
1648,35,154
1649,35,171
1650,35,198
1651,35,201
1652,35,234
1653,35,242
1654,35,250
1655,35,306
1656,35,359
1657,35,378
1658,35,404
1659,35,429
1660,35,444
1661,35,447
1662,35,527
1663,35,555
1664,35,578
1665,35,609
1666,35,1043
1667,35,1100
1668,35,1101
1669,35,1163
1670,35,1231
1671,35,1236
1672,35,1441
1673,35,1506
1674,35,1646
1675,35,2137
1676,35,2173
1677,35,3326
1678,36,114
1679,36,196
1680,36,430
1681,36,444
1682,36,447
1683,36,555
1684,36,578
1685,36,604
1686,36,609
1687,36,743
1688,36,774
1689,36,814
1690,36,834
1691,36,856
1692,36,908
1693,36,1043
1694,36,1058
1695,36,1100
1696,36,1163
1697,36,1231
1698,36,1236
1699,36,1275
1700,36,1335
1701,36,1342
1702,36,1344
1703,36,1441
1704,36,1460
1705,36,1469
1706,36,1549
1707,36,1562
1708,36,1646
1709,36,1789
1710,36,1955
1711,36,2127
1712,36,2137
1713,36,2223
1714,36,2282
1715,36,2382
1716,36,2785
1717,36,2841
1718,36,2872
1719,36,3024
1720,36,3335
1721,36,3479
1722,36,3520
1723,36,3723
1724,36,4262
1725,36,4654
1726,36,5130
1727,36,5164
1728,36,5376
1729,37,7276
1730,37,7870
1731,37,8254
1732,37,8672
1733,37,9516
1734,38,42
1735,38,104
1736,38,114
1737,38,157
1738,38,196
1739,38,203
1740,38,215
1741,38,228
1742,38,233
1743,38,259
1744,38,260
1745,38,262
1746,38,285
1747,38,305
1748,38,307
1749,38,322
1750,38,327
1751,38,330
1752,38,338
1753,38,340
1754,38,342
1755,38,346
1756,38,359
1757,38,368
1758,38,381
1759,38,386
1760,38,404
1761,38,409
1762,38,423
1763,38,428
1764,38,430
1765,38,444
1766,38,447
1767,38,483
1768,38,488
1769,38,521
1770,38,533
1771,38,555
1772,38,561
1773,38,578
1774,38,599
1775,38,604
1776,38,609
1777,38,640
1778,38,686
1779,38,698
1780,38,725
1781,38,726
1782,38,743
1783,38,774
1784,38,779
1785,38,793
1786,38,814
1787,38,816
1788,38,817
1789,38,834
1790,38,839
1791,38,856
1792,38,908
1793,38,936
1794,38,948
1795,38,978
1796,38,983
1797,38,998
1798,38,1009
1799,38,1010
1800,38,1043
1801,38,1055
1802,38,1058
1803,38,1059
1804,38,1064
1805,38,1097
1806,38,1100
1807,38,1125
1808,38,1146
1809,38,1155
1810,38,1163
1811,38,1178
1812,38,1199
1813,38,1210
1814,38,1229
1815,38,1231
1816,38,1235
1817,38,1236
1818,38,1249
1819,38,1275
1820,38,1286
1821,38,1314
1822,38,1327
1823,38,1334
1824,38,1335
1825,38,1342
1826,38,1344
1827,38,1440
1828,38,1441
1829,38,1460
1830,38,1466
1831,38,1469
1832,38,1498
1833,38,1500
1834,38,1504
1835,38,1506
1836,38,1509
1837,38,1535
1838,38,1537
1839,38,1538
1840,38,1545
1841,38,1549
1842,38,1561
1843,38,1562
1844,38,1563
1845,38,1567
1846,38,1574
1847,38,1625
1848,38,1646
1849,38,1675
1850,38,1688
1851,38,1725
1852,38,1789
1853,38,1790
1854,38,1803
1855,38,1807
1856,38,1812
1857,38,1851
1858,38,1862
1859,38,1864
1860,38,1955
1861,38,1976
1862,38,1996
1863,38,2091
1864,38,2092
1865,38,2122
1866,38,2127
1867,38,2137
1868,38,2155
1869,38,2173
1870,38,2196
1871,38,2210
1872,38,2214
1873,38,2223
1874,38,2282
1875,38,2327
1876,38,2329
1877,38,2333
1878,38,2341
1879,38,2382
1880,38,2387
1881,38,2419
1882,38,2421
1883,38,2427
1884,38,2528
1885,38,2614
1886,38,2656
1887,38,2674
1888,38,2686
1889,38,2772
1890,38,2785
1891,38,2792
1892,38,2793
1893,38,2797
1894,38,2841
1895,38,2872
1896,38,2967
1897,38,2975
1898,38,3000
1899,38,3024
1900,38,3170
1901,38,3209
1902,38,3243
1903,38,3308
1904,38,3330
1905,38,3335
1906,38,3358
1907,38,3382
1908,38,3399
1909,38,3421
1910,38,3450
1911,38,3479
1912,38,3489
1913,38,3518
1914,38,3520
1915,38,3562
1916,38,3564
1917,38,3574
1918,38,3593
1919,38,3603
1920,38,3723
1921,38,3731
1922,38,3737
1923,38,3753
1924,38,3809
1925,38,3904
1926,38,3964
1927,38,3980
1928,38,3983
1929,38,4031
1930,38,4132
1931,38,4262
1932,38,4294
1933,38,4350
1934,38,4369
1935,38,4451
1936,38,4466
1937,38,4579
1938,38,4621
1939,38,4631
1940,38,4654
1941,38,4671
1942,38,4762
1943,38,4834
1944,38,4839
1945,38,4842
1946,38,4941
1947,38,5026
1948,38,5130
1949,38,5145
1950,38,5164
1951,38,5262
1952,38,5266
1953,38,5275
1954,38,5344
1955,38,5376
1956,38,5399
1957,38,5407
1958,38,5421
