	feature
2458	ENSMUSG00000022999
2459	ENSMUSG00000023004
2460	ENSMUSG00000023007
2461	ENSMUSG00000023009
2462	ENSMUSG00000023010
2463	ENSMUSG00000023015
2464	ENSMUSG00000023018
2465	ENSMUSG00000023020
2466	ENSMUSG00000023021
2467	ENSMUSG00000023022
2468	ENSMUSG00000023025
2469	ENSMUSG00000023026
2470	ENSMUSG00000023027
2471	ENSMUSG00000023030
2472	ENSMUSG00000023033
2473	ENSMUSG00000023039
2474	ENSMUSG00000023043
2475	ENSMUSG00000023044
2476	ENSMUSG00000023048
2477	ENSMUSG00000023050
2478	ENSMUSG00000023051
2479	ENSMUSG00000023055
2480	ENSMUSG00000023066
2481	ENSMUSG00000023067
2482	ENSMUSG00000023068
2483	ENSMUSG00000023072
2484	ENSMUSG00000023074
2485	ENSMUSG00000023075
2486	ENSMUSG00000023079
2487	ENSMUSG00000023087
2488	ENSMUSG00000023088
2489	ENSMUSG00000023089
2490	ENSMUSG00000023092
2491	ENSMUSG00000023094
2492	ENSMUSG00000023104
2493	ENSMUSG00000023106
2494	ENSMUSG00000023110
2495	ENSMUSG00000023118
2496	ENSMUSG00000023143
2497	ENSMUSG00000023147
2498	ENSMUSG00000023150
2499	ENSMUSG00000023156
2500	ENSMUSG00000023169
2501	ENSMUSG00000023170
2502	ENSMUSG00000023175
2503	ENSMUSG00000023186
2504	ENSMUSG00000023232
2505	ENSMUSG00000023235
2506	ENSMUSG00000023243
2507	ENSMUSG00000023262
2508	ENSMUSG00000023272
2509	ENSMUSG00000023277
2510	ENSMUSG00000023284
2511	ENSMUSG00000023286
2512	ENSMUSG00000023307
2513	ENSMUSG00000023330
2514	ENSMUSG00000023345
2515	ENSMUSG00000023348
2516	ENSMUSG00000023353
2517	ENSMUSG00000023393
2518	ENSMUSG00000023411
2519	ENSMUSG00000023452
2520	ENSMUSG00000023456
2521	ENSMUSG00000023460
2522	ENSMUSG00000023495
2523	ENSMUSG00000023505
2524	ENSMUSG00000023571
2525	ENSMUSG00000023572
2526	ENSMUSG00000023707
2527	ENSMUSG00000023723
2528	ENSMUSG00000023755
2529	ENSMUSG00000023764
2530	ENSMUSG00000023791
2531	ENSMUSG00000023800
2532	ENSMUSG00000023806
2533	ENSMUSG00000023809
2534	ENSMUSG00000023827
2535	ENSMUSG00000023830
2536	ENSMUSG00000023832
2537	ENSMUSG00000023845
2538	ENSMUSG00000023852
2539	ENSMUSG00000023861
2540	ENSMUSG00000023883
2541	ENSMUSG00000023892
2542	ENSMUSG00000023902
2543	ENSMUSG00000023903
2544	ENSMUSG00000023904
2545	ENSMUSG00000023905
2546	ENSMUSG00000023906
2547	ENSMUSG00000023908
2548	ENSMUSG00000023911
2549	ENSMUSG00000023912
2550	ENSMUSG00000023915
2551	ENSMUSG00000023919
2552	ENSMUSG00000023921
2553	ENSMUSG00000023923
2554	ENSMUSG00000023927
2555	ENSMUSG00000023932
2556	ENSMUSG00000023938
2557	ENSMUSG00000023939
2558	ENSMUSG00000023940
2559	ENSMUSG00000023942
2560	ENSMUSG00000023944
2561	ENSMUSG00000023951
2562	ENSMUSG00000023952
2563	ENSMUSG00000023953
2564	ENSMUSG00000023963
2565	ENSMUSG00000023965
2566	ENSMUSG00000023967
2567	ENSMUSG00000023971
2568	ENSMUSG00000023972
2569	ENSMUSG00000023973
2570	ENSMUSG00000023977
2571	ENSMUSG00000023980
2572	ENSMUSG00000023988
2573	ENSMUSG00000023991
2574	ENSMUSG00000023994
2575	ENSMUSG00000024002
2576	ENSMUSG00000024006
2577	ENSMUSG00000024007
2578	ENSMUSG00000024012
2579	ENSMUSG00000024014
2580	ENSMUSG00000024018
2581	ENSMUSG00000024019
2582	ENSMUSG00000024026
2583	ENSMUSG00000024030
2584	ENSMUSG00000024033
2585	ENSMUSG00000024036
2586	ENSMUSG00000024037
2587	ENSMUSG00000024038
2588	ENSMUSG00000024039
2589	ENSMUSG00000024042
2590	ENSMUSG00000024043
2591	ENSMUSG00000024044
2592	ENSMUSG00000024045
2593	ENSMUSG00000024048
2594	ENSMUSG00000024050
2595	ENSMUSG00000024052
2596	ENSMUSG00000024054
2597	ENSMUSG00000024056
2598	ENSMUSG00000024063
2599	ENSMUSG00000024067
2600	ENSMUSG00000024068
2601	ENSMUSG00000024069
2602	ENSMUSG00000024070
2603	ENSMUSG00000024072
2604	ENSMUSG00000024073
2605	ENSMUSG00000024074
2606	ENSMUSG00000024077
2607	ENSMUSG00000024078
2608	ENSMUSG00000024079
2609	ENSMUSG00000024081
2610	ENSMUSG00000024082
2611	ENSMUSG00000024083
2612	ENSMUSG00000024085
2613	ENSMUSG00000024091
2614	ENSMUSG00000024095
2615	ENSMUSG00000024096
2616	ENSMUSG00000024097
2617	ENSMUSG00000024098
2618	ENSMUSG00000024099
2619	ENSMUSG00000024101
2620	ENSMUSG00000024104
2621	ENSMUSG00000024114
2622	ENSMUSG00000024120
2623	ENSMUSG00000024121
2624	ENSMUSG00000024122
2625	ENSMUSG00000024127
2626	ENSMUSG00000024132
2627	ENSMUSG00000024135
2628	ENSMUSG00000024137
2629	ENSMUSG00000024142
2630	ENSMUSG00000024143
2631	ENSMUSG00000024145
2632	ENSMUSG00000024146
2633	ENSMUSG00000024150
2634	ENSMUSG00000024151
2635	ENSMUSG00000024158
2636	ENSMUSG00000024160
2637	ENSMUSG00000024163
2638	ENSMUSG00000024165
2639	ENSMUSG00000024169
2640	ENSMUSG00000024170
2641	ENSMUSG00000024174
2642	ENSMUSG00000024177
2643	ENSMUSG00000024180
2644	ENSMUSG00000024181
2645	ENSMUSG00000024182
2646	ENSMUSG00000024187
2647	ENSMUSG00000024188
2648	ENSMUSG00000024190
2649	ENSMUSG00000024191
2650	ENSMUSG00000024194
2651	ENSMUSG00000024197
2652	ENSMUSG00000024201
2653	ENSMUSG00000024208
2654	ENSMUSG00000024212
2655	ENSMUSG00000024213
2656	ENSMUSG00000024217
2657	ENSMUSG00000024218
2658	ENSMUSG00000024219
2659	ENSMUSG00000024220
2660	ENSMUSG00000024222
2661	ENSMUSG00000024228
2662	ENSMUSG00000024231
2663	ENSMUSG00000024232
2664	ENSMUSG00000024234
2665	ENSMUSG00000024236
2666	ENSMUSG00000024240
2667	ENSMUSG00000024241
2668	ENSMUSG00000024242
2669	ENSMUSG00000024246
2670	ENSMUSG00000024247
2671	ENSMUSG00000024248
2672	ENSMUSG00000024251
2673	ENSMUSG00000024253
2674	ENSMUSG00000024258
2675	ENSMUSG00000024259
2676	ENSMUSG00000024260
2677	ENSMUSG00000024268
2678	ENSMUSG00000024269
2679	ENSMUSG00000024270
2680	ENSMUSG00000024271
2681	ENSMUSG00000024276
2682	ENSMUSG00000024277
2683	ENSMUSG00000024283
2684	ENSMUSG00000024286
2685	ENSMUSG00000024287
2686	ENSMUSG00000024290
2687	ENSMUSG00000024293
2688	ENSMUSG00000024294
2689	ENSMUSG00000024298
2690	ENSMUSG00000024299
2691	ENSMUSG00000024301
2692	ENSMUSG00000024302
2693	ENSMUSG00000024304
2694	ENSMUSG00000024308
2695	ENSMUSG00000024309
2696	ENSMUSG00000024312
2697	ENSMUSG00000024317
2698	ENSMUSG00000024319
2699	ENSMUSG00000024325
2700	ENSMUSG00000024327
2701	ENSMUSG00000024331
2702	ENSMUSG00000024335
2703	ENSMUSG00000024346
2704	ENSMUSG00000024350
2705	ENSMUSG00000024352
2706	ENSMUSG00000024354
2707	ENSMUSG00000024357
2708	ENSMUSG00000024359
2709	ENSMUSG00000024360
2710	ENSMUSG00000024369
2711	ENSMUSG00000024370
2712	ENSMUSG00000024376
2713	ENSMUSG00000024378
2714	ENSMUSG00000024381
2715	ENSMUSG00000024382
2716	ENSMUSG00000024383
2717	ENSMUSG00000024384
2718	ENSMUSG00000024387
2719	ENSMUSG00000024392
2720	ENSMUSG00000024393
2721	ENSMUSG00000024400
2722	ENSMUSG00000024404
2723	ENSMUSG00000024406
2724	ENSMUSG00000024409
2725	ENSMUSG00000024413
2726	ENSMUSG00000024414
2727	ENSMUSG00000024420
2728	ENSMUSG00000024422
2729	ENSMUSG00000024423
2730	ENSMUSG00000024425
2731	ENSMUSG00000024426
2732	ENSMUSG00000024427
2733	ENSMUSG00000024429
2734	ENSMUSG00000024436
2735	ENSMUSG00000024446
2736	ENSMUSG00000024454
2737	ENSMUSG00000024456
2738	ENSMUSG00000024457
2739	ENSMUSG00000024462
2740	ENSMUSG00000024472
2741	ENSMUSG00000024474
2742	ENSMUSG00000024477
2743	ENSMUSG00000024480
2744	ENSMUSG00000024483
2745	ENSMUSG00000024486
2746	ENSMUSG00000024487
2747	ENSMUSG00000024491
2748	ENSMUSG00000024493
2749	ENSMUSG00000024498
2750	ENSMUSG00000024501
2751	ENSMUSG00000024502
2752	ENSMUSG00000024503
2753	ENSMUSG00000024505
2754	ENSMUSG00000024507
2755	ENSMUSG00000024513
2756	ENSMUSG00000024515
2757	ENSMUSG00000024516
2758	ENSMUSG00000024521
2759	ENSMUSG00000024525
2760	ENSMUSG00000024527
2761	ENSMUSG00000024528
2762	ENSMUSG00000024530
2763	ENSMUSG00000024533
2764	ENSMUSG00000024535
2765	ENSMUSG00000024537
2766	ENSMUSG00000024538
2767	ENSMUSG00000024539
2768	ENSMUSG00000024542
2769	ENSMUSG00000024548
2770	ENSMUSG00000024556
2771	ENSMUSG00000024558
2772	ENSMUSG00000024560
2773	ENSMUSG00000024561
2774	ENSMUSG00000024563
2775	ENSMUSG00000024565
2776	ENSMUSG00000024566
2777	ENSMUSG00000024570
2778	ENSMUSG00000024576
2779	ENSMUSG00000024579
2780	ENSMUSG00000024580
2781	ENSMUSG00000024581
2782	ENSMUSG00000024583
2783	ENSMUSG00000024587
2784	ENSMUSG00000024588
2785	ENSMUSG00000024590
2786	ENSMUSG00000024594
2787	ENSMUSG00000024597
2788	ENSMUSG00000024598
2789	ENSMUSG00000024601
2790	ENSMUSG00000024603
2791	ENSMUSG00000024604
2792	ENSMUSG00000024608
2793	ENSMUSG00000024613
2794	ENSMUSG00000024614
2795	ENSMUSG00000024622
2796	ENSMUSG00000024639
2797	ENSMUSG00000024640
2798	ENSMUSG00000024642
2799	ENSMUSG00000024644
2800	ENSMUSG00000024645
2801	ENSMUSG00000024646
2802	ENSMUSG00000024654
2803	ENSMUSG00000024660
2804	ENSMUSG00000024661
2805	ENSMUSG00000024663
2806	ENSMUSG00000024665
2807	ENSMUSG00000024666
2808	ENSMUSG00000024667
2809	ENSMUSG00000024668
2810	ENSMUSG00000024678
2811	ENSMUSG00000024683
2812	ENSMUSG00000024687
2813	ENSMUSG00000024691
2814	ENSMUSG00000024695
2815	ENSMUSG00000024697
2816	ENSMUSG00000024712
2817	ENSMUSG00000024725
2818	ENSMUSG00000024726
2819	ENSMUSG00000024732
2820	ENSMUSG00000024735
2821	ENSMUSG00000024736
2822	ENSMUSG00000024740
2823	ENSMUSG00000024742
2824	ENSMUSG00000024750
2825	ENSMUSG00000024754
2826	ENSMUSG00000024758
2827	ENSMUSG00000024759
2828	ENSMUSG00000024764
2829	ENSMUSG00000024766
2830	ENSMUSG00000024767
2831	ENSMUSG00000024772
2832	ENSMUSG00000024773
2833	ENSMUSG00000024777
2834	ENSMUSG00000024780
2835	ENSMUSG00000024781
2836	ENSMUSG00000024782
2837	ENSMUSG00000024785
2838	ENSMUSG00000024787
2839	ENSMUSG00000024790
2840	ENSMUSG00000024791
2841	ENSMUSG00000024792
2842	ENSMUSG00000024795
2843	ENSMUSG00000024797
2844	ENSMUSG00000024799
2845	ENSMUSG00000024800
2846	ENSMUSG00000024805
2847	ENSMUSG00000024807
2848	ENSMUSG00000024811
2849	ENSMUSG00000024812
2850	ENSMUSG00000024816
2851	ENSMUSG00000024817
2852	ENSMUSG00000024824
2853	ENSMUSG00000024826
2854	ENSMUSG00000024827
2855	ENSMUSG00000024829
2856	ENSMUSG00000024830
2857	ENSMUSG00000024831
2858	ENSMUSG00000024833
2859	ENSMUSG00000024835
2860	ENSMUSG00000024841
2861	ENSMUSG00000024843
2862	ENSMUSG00000024844
2863	ENSMUSG00000024847
2864	ENSMUSG00000024851
2865	ENSMUSG00000024853
2866	ENSMUSG00000024855
2867	ENSMUSG00000024856
2868	ENSMUSG00000024858
2869	ENSMUSG00000024862
2870	ENSMUSG00000024868
2871	ENSMUSG00000024870
2872	ENSMUSG00000024873
2873	ENSMUSG00000024875
2874	ENSMUSG00000024878
2875	ENSMUSG00000024889
2876	ENSMUSG00000024891
2877	ENSMUSG00000024892
2878	ENSMUSG00000024896
2879	ENSMUSG00000024902
2880	ENSMUSG00000024906
2881	ENSMUSG00000024908
2882	ENSMUSG00000024909
2883	ENSMUSG00000024911
2884	ENSMUSG00000024913
2885	ENSMUSG00000024914
2886	ENSMUSG00000024921
2887	ENSMUSG00000024925
2888	ENSMUSG00000024926
2889	ENSMUSG00000024927
2890	ENSMUSG00000024935
2891	ENSMUSG00000024937
2892	ENSMUSG00000024941
2893	ENSMUSG00000024943
2894	ENSMUSG00000024944
2895	ENSMUSG00000024947
2896	ENSMUSG00000024948
2897	ENSMUSG00000024949
2898	ENSMUSG00000024953
2899	ENSMUSG00000024958
2900	ENSMUSG00000024959
2901	ENSMUSG00000024960
2902	ENSMUSG00000024962
2903	ENSMUSG00000024963
2904	ENSMUSG00000024966
2905	ENSMUSG00000024968
2906	ENSMUSG00000024969
2907	ENSMUSG00000024974
2908	ENSMUSG00000024975
2909	ENSMUSG00000024976
2910	ENSMUSG00000024978
2911	ENSMUSG00000024981
2912	ENSMUSG00000024982
2913	ENSMUSG00000024983
2914	ENSMUSG00000024985
2915	ENSMUSG00000024987
2916	ENSMUSG00000024989
2917	ENSMUSG00000024991
2918	ENSMUSG00000024993
2919	ENSMUSG00000024997
2920	ENSMUSG00000024999
2921	ENSMUSG00000025001
2922	ENSMUSG00000025006
2923	ENSMUSG00000025007
2924	ENSMUSG00000025008
2925	ENSMUSG00000025010
2926	ENSMUSG00000025016
2927	ENSMUSG00000025019
2928	ENSMUSG00000025024
2929	ENSMUSG00000025025
2930	ENSMUSG00000025026
2931	ENSMUSG00000025027
2932	ENSMUSG00000025034
2933	ENSMUSG00000025035
2934	ENSMUSG00000025036
2935	ENSMUSG00000025037
2936	ENSMUSG00000025040
2937	ENSMUSG00000025041
2938	ENSMUSG00000025047
2939	ENSMUSG00000025049
2940	ENSMUSG00000025050
2941	ENSMUSG00000025059
2942	ENSMUSG00000025060
2943	ENSMUSG00000025066
2944	ENSMUSG00000025068
2945	ENSMUSG00000025076
2946	ENSMUSG00000025077
2947	ENSMUSG00000025078
2948	ENSMUSG00000025085
2949	ENSMUSG00000025086
2950	ENSMUSG00000025094
2951	ENSMUSG00000025103
2952	ENSMUSG00000025104
2953	ENSMUSG00000025130
2954	ENSMUSG00000025132
2955	ENSMUSG00000025133
2956	ENSMUSG00000025134
2957	ENSMUSG00000025135
2958	ENSMUSG00000025137
2959	ENSMUSG00000025138
2960	ENSMUSG00000025139
2961	ENSMUSG00000025140
2962	ENSMUSG00000025142
2963	ENSMUSG00000025144
2964	ENSMUSG00000025145
2965	ENSMUSG00000025147
2966	ENSMUSG00000025151
2967	ENSMUSG00000025153
2968	ENSMUSG00000025154
2969	ENSMUSG00000025155
2970	ENSMUSG00000025156
2971	ENSMUSG00000025157
2972	ENSMUSG00000025158
2973	ENSMUSG00000025159
2974	ENSMUSG00000025161
2975	ENSMUSG00000025162
2976	ENSMUSG00000025169
2977	ENSMUSG00000025173
2978	ENSMUSG00000025178
2979	ENSMUSG00000025184
2980	ENSMUSG00000025188
2981	ENSMUSG00000025190
2982	ENSMUSG00000025192
2983	ENSMUSG00000025193
2984	ENSMUSG00000025195
2985	ENSMUSG00000025198
2986	ENSMUSG00000025199
2987	ENSMUSG00000025200
2988	ENSMUSG00000025203
2989	ENSMUSG00000025204
2990	ENSMUSG00000025208
2991	ENSMUSG00000025209
2992	ENSMUSG00000025217
2993	ENSMUSG00000025218
2994	ENSMUSG00000025219
2995	ENSMUSG00000025220
2996	ENSMUSG00000025223
2997	ENSMUSG00000025224
2998	ENSMUSG00000025226
2999	ENSMUSG00000025227
3000	ENSMUSG00000025228
3001	ENSMUSG00000025231
3002	ENSMUSG00000025232
3003	ENSMUSG00000025234
3004	ENSMUSG00000025235
3005	ENSMUSG00000025236
3006	ENSMUSG00000025237
3007	ENSMUSG00000025239
3008	ENSMUSG00000025240
3009	ENSMUSG00000025245
3010	ENSMUSG00000025246
3011	ENSMUSG00000025257
3012	ENSMUSG00000025260
3013	ENSMUSG00000025261
3014	ENSMUSG00000025264
3015	ENSMUSG00000025265
3016	ENSMUSG00000025266
3017	ENSMUSG00000025268
3018	ENSMUSG00000025269
3019	ENSMUSG00000025271
3020	ENSMUSG00000025272
3021	ENSMUSG00000025277
3022	ENSMUSG00000025278
3023	ENSMUSG00000025280
3024	ENSMUSG00000025283
3025	ENSMUSG00000025287
3026	ENSMUSG00000025289
3027	ENSMUSG00000025290
3028	ENSMUSG00000025314
3029	ENSMUSG00000025316
3030	ENSMUSG00000025318
3031	ENSMUSG00000025323
3032	ENSMUSG00000025326
3033	ENSMUSG00000025332
3034	ENSMUSG00000025337
3035	ENSMUSG00000025340
3036	ENSMUSG00000025351
3037	ENSMUSG00000025352
3038	ENSMUSG00000025353
3039	ENSMUSG00000025354
3040	ENSMUSG00000025357
3041	ENSMUSG00000025358
3042	ENSMUSG00000025362
3043	ENSMUSG00000025364
3044	ENSMUSG00000025366
3045	ENSMUSG00000025369
3046	ENSMUSG00000025371
3047	ENSMUSG00000025373
3048	ENSMUSG00000025374
3049	ENSMUSG00000025377
3050	ENSMUSG00000025381
3051	ENSMUSG00000025384
3052	ENSMUSG00000025393
3053	ENSMUSG00000025395
3054	ENSMUSG00000025403
3055	ENSMUSG00000025404
3056	ENSMUSG00000025408
3057	ENSMUSG00000025409
3058	ENSMUSG00000025410
3059	ENSMUSG00000025413
3060	ENSMUSG00000025417
3061	ENSMUSG00000025420
3062	ENSMUSG00000025421
3063	ENSMUSG00000025423
3064	ENSMUSG00000025427
3065	ENSMUSG00000025428
3066	ENSMUSG00000025436
3067	ENSMUSG00000025437
3068	ENSMUSG00000025439
3069	ENSMUSG00000025451
3070	ENSMUSG00000025453
3071	ENSMUSG00000025464
3072	ENSMUSG00000025465
3073	ENSMUSG00000025466
3074	ENSMUSG00000025470
3075	ENSMUSG00000025474
3076	ENSMUSG00000025477
3077	ENSMUSG00000025481
3078	ENSMUSG00000025484
3079	ENSMUSG00000025485
3080	ENSMUSG00000025486
3081	ENSMUSG00000025487
3082	ENSMUSG00000025491
3083	ENSMUSG00000025492
3084	ENSMUSG00000025494
3085	ENSMUSG00000025495
3086	ENSMUSG00000025499
3087	ENSMUSG00000025503
3088	ENSMUSG00000025505
3089	ENSMUSG00000025507
3090	ENSMUSG00000025508
3091	ENSMUSG00000025509
3092	ENSMUSG00000025510
3093	ENSMUSG00000025511
3094	ENSMUSG00000025512
3095	ENSMUSG00000025521
3096	ENSMUSG00000025525
3097	ENSMUSG00000025531
3098	ENSMUSG00000025532
3099	ENSMUSG00000025533
3100	ENSMUSG00000025534
3101	ENSMUSG00000025538
3102	ENSMUSG00000025544
3103	ENSMUSG00000025545
3104	ENSMUSG00000025555
3105	ENSMUSG00000025558
3106	ENSMUSG00000025571
3107	ENSMUSG00000025572
3108	ENSMUSG00000025574
3109	ENSMUSG00000025575
3110	ENSMUSG00000025577
3111	ENSMUSG00000025579
3112	ENSMUSG00000025580
3113	ENSMUSG00000025583
3114	ENSMUSG00000025591
3115	ENSMUSG00000025602
3116	ENSMUSG00000025607
3117	ENSMUSG00000025608
3118	ENSMUSG00000025609
3119	ENSMUSG00000025612
3120	ENSMUSG00000025613
3121	ENSMUSG00000025616
3122	ENSMUSG00000025626
3123	ENSMUSG00000025630
3124	ENSMUSG00000025645
3125	ENSMUSG00000025646
3126	ENSMUSG00000025647
3127	ENSMUSG00000025651
3128	ENSMUSG00000025658
3129	ENSMUSG00000025665
3130	ENSMUSG00000025666
3131	ENSMUSG00000025702
3132	ENSMUSG00000025722
3133	ENSMUSG00000025723
3134	ENSMUSG00000025724
3135	ENSMUSG00000025728
3136	ENSMUSG00000025730
3137	ENSMUSG00000025731
3138	ENSMUSG00000025732
3139	ENSMUSG00000025733
3140	ENSMUSG00000025736
3141	ENSMUSG00000025737
3142	ENSMUSG00000025742
3143	ENSMUSG00000025745
3144	ENSMUSG00000025747
3145	ENSMUSG00000025757
3146	ENSMUSG00000025758
3147	ENSMUSG00000025762
3148	ENSMUSG00000025764
3149	ENSMUSG00000025781
3150	ENSMUSG00000025782
3151	ENSMUSG00000025785
3152	ENSMUSG00000025786
3153	ENSMUSG00000025790
3154	ENSMUSG00000025791
3155	ENSMUSG00000025792
3156	ENSMUSG00000025793
3157	ENSMUSG00000025794
3158	ENSMUSG00000025795
3159	ENSMUSG00000025809
3160	ENSMUSG00000025812
3161	ENSMUSG00000025813
3162	ENSMUSG00000025815
3163	ENSMUSG00000025816
3164	ENSMUSG00000025817
3165	ENSMUSG00000025821
3166	ENSMUSG00000025823
3167	ENSMUSG00000025825
3168	ENSMUSG00000025856
3169	ENSMUSG00000025857
3170	ENSMUSG00000025858
3171	ENSMUSG00000025860
3172	ENSMUSG00000025862
3173	ENSMUSG00000025867
3174	ENSMUSG00000025868
3175	ENSMUSG00000025869
3176	ENSMUSG00000025870
3177	ENSMUSG00000025872
3178	ENSMUSG00000025873
3179	ENSMUSG00000025878
3180	ENSMUSG00000025880
3181	ENSMUSG00000025893
3182	ENSMUSG00000025894
3183	ENSMUSG00000025898
3184	ENSMUSG00000025899
3185	ENSMUSG00000025903
3186	ENSMUSG00000025907
3187	ENSMUSG00000025912
3188	ENSMUSG00000025915
3189	ENSMUSG00000025917
3190	ENSMUSG00000025920
3191	ENSMUSG00000025921
3192	ENSMUSG00000025925
3193	ENSMUSG00000025935
3194	ENSMUSG00000025937
3195	ENSMUSG00000025939
3196	ENSMUSG00000025940
3197	ENSMUSG00000025949
3198	ENSMUSG00000025950
3199	ENSMUSG00000025956
3200	ENSMUSG00000025958
3201	ENSMUSG00000025959
3202	ENSMUSG00000025962
3203	ENSMUSG00000025967
3204	ENSMUSG00000025968
3205	ENSMUSG00000025969
3206	ENSMUSG00000025979
3207	ENSMUSG00000025980
3208	ENSMUSG00000025981
3209	ENSMUSG00000025982
3210	ENSMUSG00000025986
3211	ENSMUSG00000025993
3212	ENSMUSG00000025995
3213	ENSMUSG00000026000
3214	ENSMUSG00000026003
3215	ENSMUSG00000026004
3216	ENSMUSG00000026005
3217	ENSMUSG00000026014
3218	ENSMUSG00000026017
3219	ENSMUSG00000026019
3220	ENSMUSG00000026020
3221	ENSMUSG00000026021
3222	ENSMUSG00000026024
3223	ENSMUSG00000026027
3224	ENSMUSG00000026028
3225	ENSMUSG00000026029
3226	ENSMUSG00000026031
3227	ENSMUSG00000026032
3228	ENSMUSG00000026034
3229	ENSMUSG00000026035
3230	ENSMUSG00000026036
3231	ENSMUSG00000026037
3232	ENSMUSG00000026039
3233	ENSMUSG00000026047
3234	ENSMUSG00000026048
3235	ENSMUSG00000026049
3236	ENSMUSG00000026064
3237	ENSMUSG00000026074
3238	ENSMUSG00000026078
3239	ENSMUSG00000026082
3240	ENSMUSG00000026083
3241	ENSMUSG00000026087
3242	ENSMUSG00000026088
3243	ENSMUSG00000026094
3244	ENSMUSG00000026095
3245	ENSMUSG00000026096
3246	ENSMUSG00000026097
3247	ENSMUSG00000026098
3248	ENSMUSG00000026102
3249	ENSMUSG00000026103
3250	ENSMUSG00000026107
3251	ENSMUSG00000026110
3252	ENSMUSG00000026111
3253	ENSMUSG00000026112
3254	ENSMUSG00000026113
3255	ENSMUSG00000026116
3256	ENSMUSG00000026121
3257	ENSMUSG00000026123
3258	ENSMUSG00000026124
3259	ENSMUSG00000026126
3260	ENSMUSG00000026127
3261	ENSMUSG00000026131
3262	ENSMUSG00000026134
3263	ENSMUSG00000026135
3264	ENSMUSG00000026142
3265	ENSMUSG00000026150
3266	ENSMUSG00000026153
3267	ENSMUSG00000026154
3268	ENSMUSG00000026155
3269	ENSMUSG00000026158
3270	ENSMUSG00000026159
3271	ENSMUSG00000026162
3272	ENSMUSG00000026171
3273	ENSMUSG00000026172
3274	ENSMUSG00000026174
3275	ENSMUSG00000026176
3276	ENSMUSG00000026179
3277	ENSMUSG00000026181
3278	ENSMUSG00000026187
3279	ENSMUSG00000026189
3280	ENSMUSG00000026192
3281	ENSMUSG00000026193
3282	ENSMUSG00000026196
3283	ENSMUSG00000026197
3284	ENSMUSG00000026198
3285	ENSMUSG00000026199
3286	ENSMUSG00000026201
3287	ENSMUSG00000026202
3288	ENSMUSG00000026203
3289	ENSMUSG00000026207
3290	ENSMUSG00000026208
3291	ENSMUSG00000026209
3292	ENSMUSG00000026211
3293	ENSMUSG00000026213
3294	ENSMUSG00000026219
3295	ENSMUSG00000026223
3296	ENSMUSG00000026229
3297	ENSMUSG00000026234
3298	ENSMUSG00000026235
3299	ENSMUSG00000026238
3300	ENSMUSG00000026239
3301	ENSMUSG00000026240
3302	ENSMUSG00000026245
3303	ENSMUSG00000026248
3304	ENSMUSG00000026249
3305	ENSMUSG00000026254
3306	ENSMUSG00000026260
3307	ENSMUSG00000026269
3308	ENSMUSG00000026270
3309	ENSMUSG00000026273
3310	ENSMUSG00000026274
3311	ENSMUSG00000026275
3312	ENSMUSG00000026276
3313	ENSMUSG00000026277
3314	ENSMUSG00000026278
3315	ENSMUSG00000026279
3316	ENSMUSG00000026280
3317	ENSMUSG00000026281
3318	ENSMUSG00000026283
3319	ENSMUSG00000026289
3320	ENSMUSG00000026305
3321	ENSMUSG00000026307
3322	ENSMUSG00000026309
3323	ENSMUSG00000026311
3324	ENSMUSG00000026313
3325	ENSMUSG00000026317
3326	ENSMUSG00000026333
3327	ENSMUSG00000026335
3328	ENSMUSG00000026339
3329	ENSMUSG00000026341
3330	ENSMUSG00000026342
3331	ENSMUSG00000026349
3332	ENSMUSG00000026353
3333	ENSMUSG00000026355
3334	ENSMUSG00000026356
3335	ENSMUSG00000026360
3336	ENSMUSG00000026361
3337	ENSMUSG00000026374
3338	ENSMUSG00000026377
3339	ENSMUSG00000026380
3340	ENSMUSG00000026383
3341	ENSMUSG00000026384
3342	ENSMUSG00000026385
3343	ENSMUSG00000026389
3344	ENSMUSG00000026393
3345	ENSMUSG00000026404
3346	ENSMUSG00000026411
3347	ENSMUSG00000026421
3348	ENSMUSG00000026425
3349	ENSMUSG00000026426
3350	ENSMUSG00000026427
3351	ENSMUSG00000026429
3352	ENSMUSG00000026434
3353	ENSMUSG00000026436
3354	ENSMUSG00000026437
3355	ENSMUSG00000026439
3356	ENSMUSG00000026442
3357	ENSMUSG00000026447
3358	ENSMUSG00000026455
3359	ENSMUSG00000026456
3360	ENSMUSG00000026457
3361	ENSMUSG00000026466
3362	ENSMUSG00000026469
3363	ENSMUSG00000026470
3364	ENSMUSG00000026473
3365	ENSMUSG00000026478
3366	ENSMUSG00000026482
3367	ENSMUSG00000026484
3368	ENSMUSG00000026489
3369	ENSMUSG00000026490
3370	ENSMUSG00000026491
3371	ENSMUSG00000026492
3372	ENSMUSG00000026495
3373	ENSMUSG00000026496
3374	ENSMUSG00000026497
3375	ENSMUSG00000026499
3376	ENSMUSG00000026502
3377	ENSMUSG00000026504
3378	ENSMUSG00000026509
3379	ENSMUSG00000026510
3380	ENSMUSG00000026511
3381	ENSMUSG00000026516
3382	ENSMUSG00000026520
3383	ENSMUSG00000026526
3384	ENSMUSG00000026547
3385	ENSMUSG00000026553
3386	ENSMUSG00000026554
3387	ENSMUSG00000026556
3388	ENSMUSG00000026558
3389	ENSMUSG00000026563
3390	ENSMUSG00000026565
