	feature
228	ENSMUSG00000002107
229	ENSMUSG00000002109
230	ENSMUSG00000002129
231	ENSMUSG00000002147
232	ENSMUSG00000002205
233	ENSMUSG00000002210
234	ENSMUSG00000002221
235	ENSMUSG00000002222
236	ENSMUSG00000002227
237	ENSMUSG00000002233
238	ENSMUSG00000002250
239	ENSMUSG00000002265
240	ENSMUSG00000002274
241	ENSMUSG00000002279
242	ENSMUSG00000002280
243	ENSMUSG00000002289
244	ENSMUSG00000002297
245	ENSMUSG00000002307
246	ENSMUSG00000002308
247	ENSMUSG00000002319
248	ENSMUSG00000002320
249	ENSMUSG00000002325
250	ENSMUSG00000002326
251	ENSMUSG00000002329
252	ENSMUSG00000002332
253	ENSMUSG00000002341
254	ENSMUSG00000002342
255	ENSMUSG00000002343
256	ENSMUSG00000002345
257	ENSMUSG00000002365
258	ENSMUSG00000002372
259	ENSMUSG00000002379
260	ENSMUSG00000002393
261	ENSMUSG00000002395
262	ENSMUSG00000002409
263	ENSMUSG00000002413
264	ENSMUSG00000002416
265	ENSMUSG00000002428
266	ENSMUSG00000002455
267	ENSMUSG00000002458
268	ENSMUSG00000002477
269	ENSMUSG00000002486
270	ENSMUSG00000002489
271	ENSMUSG00000002496
272	ENSMUSG00000002504
273	ENSMUSG00000002524
274	ENSMUSG00000002546
275	ENSMUSG00000002550
276	ENSMUSG00000002578
277	ENSMUSG00000002580
278	ENSMUSG00000002608
279	ENSMUSG00000002617
280	ENSMUSG00000002625
281	ENSMUSG00000002635
282	ENSMUSG00000002658
283	ENSMUSG00000002660
284	ENSMUSG00000002661
285	ENSMUSG00000002668
286	ENSMUSG00000002679
287	ENSMUSG00000002718
288	ENSMUSG00000002728
289	ENSMUSG00000002731
290	ENSMUSG00000002733
291	ENSMUSG00000002741
292	ENSMUSG00000002748
293	ENSMUSG00000002763
294	ENSMUSG00000002767
295	ENSMUSG00000002768
296	ENSMUSG00000002778
297	ENSMUSG00000002781
298	ENSMUSG00000002797
299	ENSMUSG00000002803
300	ENSMUSG00000002804
301	ENSMUSG00000002808
302	ENSMUSG00000002812
303	ENSMUSG00000002814
304	ENSMUSG00000002820
305	ENSMUSG00000002825
306	ENSMUSG00000002833
307	ENSMUSG00000002835
308	ENSMUSG00000002844
309	ENSMUSG00000002845
310	ENSMUSG00000002846
311	ENSMUSG00000002870
312	ENSMUSG00000002871
313	ENSMUSG00000002881
314	ENSMUSG00000002897
315	ENSMUSG00000002900
316	ENSMUSG00000002948
317	ENSMUSG00000002949
318	ENSMUSG00000002957
319	ENSMUSG00000002963
320	ENSMUSG00000002968
321	ENSMUSG00000002980
322	ENSMUSG00000002981
323	ENSMUSG00000002984
324	ENSMUSG00000002985
325	ENSMUSG00000002996
326	ENSMUSG00000002997
327	ENSMUSG00000003031
328	ENSMUSG00000003032
329	ENSMUSG00000003033
330	ENSMUSG00000003037
331	ENSMUSG00000003038
332	ENSMUSG00000003039
333	ENSMUSG00000003051
334	ENSMUSG00000003062
335	ENSMUSG00000003068
336	ENSMUSG00000003070
337	ENSMUSG00000003072
338	ENSMUSG00000003099
339	ENSMUSG00000003119
340	ENSMUSG00000003123
341	ENSMUSG00000003131
342	ENSMUSG00000003135
343	ENSMUSG00000003153
344	ENSMUSG00000003161
345	ENSMUSG00000003166
346	ENSMUSG00000003184
347	ENSMUSG00000003190
348	ENSMUSG00000003198
349	ENSMUSG00000003199
350	ENSMUSG00000003200
351	ENSMUSG00000003208
352	ENSMUSG00000003226
353	ENSMUSG00000003233
354	ENSMUSG00000003234
355	ENSMUSG00000003235
356	ENSMUSG00000003269
357	ENSMUSG00000003279
358	ENSMUSG00000003282
359	ENSMUSG00000003299
360	ENSMUSG00000003308
361	ENSMUSG00000003309
362	ENSMUSG00000003316
363	ENSMUSG00000003344
364	ENSMUSG00000003345
365	ENSMUSG00000003346
366	ENSMUSG00000003348
367	ENSMUSG00000003352
368	ENSMUSG00000003355
369	ENSMUSG00000003360
370	ENSMUSG00000003363
371	ENSMUSG00000003380
372	ENSMUSG00000003382
373	ENSMUSG00000003402
374	ENSMUSG00000003410
375	ENSMUSG00000003411
376	ENSMUSG00000003421
377	ENSMUSG00000003423
378	ENSMUSG00000003429
379	ENSMUSG00000003435
380	ENSMUSG00000003436
381	ENSMUSG00000003437
382	ENSMUSG00000003438
383	ENSMUSG00000003444
384	ENSMUSG00000003452
385	ENSMUSG00000003458
386	ENSMUSG00000003464
387	ENSMUSG00000003500
388	ENSMUSG00000003518
389	ENSMUSG00000003526
390	ENSMUSG00000003527
391	ENSMUSG00000003528
392	ENSMUSG00000003531
393	ENSMUSG00000003534
394	ENSMUSG00000003541
395	ENSMUSG00000003546
396	ENSMUSG00000003549
397	ENSMUSG00000003559
398	ENSMUSG00000003573
399	ENSMUSG00000003575
400	ENSMUSG00000003604
401	ENSMUSG00000003623
402	ENSMUSG00000003644
403	ENSMUSG00000003660
404	ENSMUSG00000003662
405	ENSMUSG00000003680
406	ENSMUSG00000003721
407	ENSMUSG00000003731
408	ENSMUSG00000003762
409	ENSMUSG00000003778
410	ENSMUSG00000003779
411	ENSMUSG00000003808
412	ENSMUSG00000003809
413	ENSMUSG00000003810
414	ENSMUSG00000003812
415	ENSMUSG00000003813
416	ENSMUSG00000003814
417	ENSMUSG00000003824
418	ENSMUSG00000003847
419	ENSMUSG00000003848
420	ENSMUSG00000003849
421	ENSMUSG00000003865
422	ENSMUSG00000003868
423	ENSMUSG00000003873
424	ENSMUSG00000003923
425	ENSMUSG00000003929
426	ENSMUSG00000003934
427	ENSMUSG00000003948
428	ENSMUSG00000003955
429	ENSMUSG00000003970
430	ENSMUSG00000003992
431	ENSMUSG00000004018
432	ENSMUSG00000004032
433	ENSMUSG00000004038
434	ENSMUSG00000004040
435	ENSMUSG00000004054
436	ENSMUSG00000004056
437	ENSMUSG00000004069
438	ENSMUSG00000004070
439	ENSMUSG00000004071
440	ENSMUSG00000004085
441	ENSMUSG00000004096
442	ENSMUSG00000004099
443	ENSMUSG00000004100
444	ENSMUSG00000004113
445	ENSMUSG00000004127
446	ENSMUSG00000004151
447	ENSMUSG00000004187
448	ENSMUSG00000004207
449	ENSMUSG00000004221
450	ENSMUSG00000004233
451	ENSMUSG00000004264
452	ENSMUSG00000004266
453	ENSMUSG00000004268
454	ENSMUSG00000004270
455	ENSMUSG00000004285
456	ENSMUSG00000004317
457	ENSMUSG00000004319
458	ENSMUSG00000004328
459	ENSMUSG00000004356
460	ENSMUSG00000004364
461	ENSMUSG00000004393
462	ENSMUSG00000004394
463	ENSMUSG00000004446
464	ENSMUSG00000004451
465	ENSMUSG00000004455
466	ENSMUSG00000004460
467	ENSMUSG00000004462
468	ENSMUSG00000004530
469	ENSMUSG00000004535
470	ENSMUSG00000004558
471	ENSMUSG00000004561
472	ENSMUSG00000004562
473	ENSMUSG00000004565
474	ENSMUSG00000004567
475	ENSMUSG00000004568
476	ENSMUSG00000004591
477	ENSMUSG00000004610
478	ENSMUSG00000004626
479	ENSMUSG00000004631
480	ENSMUSG00000004633
481	ENSMUSG00000004637
482	ENSMUSG00000004642
483	ENSMUSG00000004661
484	ENSMUSG00000004665
485	ENSMUSG00000004667
486	ENSMUSG00000004677
487	ENSMUSG00000004748
488	ENSMUSG00000004768
489	ENSMUSG00000004771
490	ENSMUSG00000004788
491	ENSMUSG00000004789
492	ENSMUSG00000004843
493	ENSMUSG00000004846
494	ENSMUSG00000004849
495	ENSMUSG00000004864
496	ENSMUSG00000004865
497	ENSMUSG00000004880
498	ENSMUSG00000004885
499	ENSMUSG00000004891
500	ENSMUSG00000004895
501	ENSMUSG00000004896
502	ENSMUSG00000004897
503	ENSMUSG00000004929
504	ENSMUSG00000004931
505	ENSMUSG00000004934
506	ENSMUSG00000004936
507	ENSMUSG00000004937
508	ENSMUSG00000004945
509	ENSMUSG00000004947
510	ENSMUSG00000004951
511	ENSMUSG00000004980
512	ENSMUSG00000004994
513	ENSMUSG00000004996
514	ENSMUSG00000005034
515	ENSMUSG00000005054
516	ENSMUSG00000005069
517	ENSMUSG00000005078
518	ENSMUSG00000005102
519	ENSMUSG00000005103
520	ENSMUSG00000005125
521	ENSMUSG00000005142
522	ENSMUSG00000005148
523	ENSMUSG00000005150
524	ENSMUSG00000005161
525	ENSMUSG00000005198
526	ENSMUSG00000005204
527	ENSMUSG00000005225
528	ENSMUSG00000005233
529	ENSMUSG00000005251
530	ENSMUSG00000005262
531	ENSMUSG00000005299
532	ENSMUSG00000005312
533	ENSMUSG00000005354
534	ENSMUSG00000005360
535	ENSMUSG00000005362
536	ENSMUSG00000005370
537	ENSMUSG00000005371
538	ENSMUSG00000005374
539	ENSMUSG00000005378
540	ENSMUSG00000005397
541	ENSMUSG00000005410
542	ENSMUSG00000005413
543	ENSMUSG00000005417
544	ENSMUSG00000005442
545	ENSMUSG00000005447
546	ENSMUSG00000005469
547	ENSMUSG00000005470
548	ENSMUSG00000005481
549	ENSMUSG00000005483
550	ENSMUSG00000005501
551	ENSMUSG00000005503
552	ENSMUSG00000005505
553	ENSMUSG00000005506
554	ENSMUSG00000005510
555	ENSMUSG00000005514
556	ENSMUSG00000005533
557	ENSMUSG00000005534
558	ENSMUSG00000005566
559	ENSMUSG00000005575
560	ENSMUSG00000005609
561	ENSMUSG00000005610
562	ENSMUSG00000005615
563	ENSMUSG00000005621
564	ENSMUSG00000005625
565	ENSMUSG00000005656
566	ENSMUSG00000005667
567	ENSMUSG00000005672
568	ENSMUSG00000005674
569	ENSMUSG00000005681
570	ENSMUSG00000005682
571	ENSMUSG00000005683
572	ENSMUSG00000005687
573	ENSMUSG00000005698
574	ENSMUSG00000005699
575	ENSMUSG00000005718
576	ENSMUSG00000005732
577	ENSMUSG00000005779
578	ENSMUSG00000005804
579	ENSMUSG00000005813
580	ENSMUSG00000005823
581	ENSMUSG00000005836
582	ENSMUSG00000005846
583	ENSMUSG00000005871
584	ENSMUSG00000005873
585	ENSMUSG00000005881
586	ENSMUSG00000005882
587	ENSMUSG00000005886
588	ENSMUSG00000005892
589	ENSMUSG00000005893
590	ENSMUSG00000005897
591	ENSMUSG00000005899
592	ENSMUSG00000005907
593	ENSMUSG00000005936
594	ENSMUSG00000005949
595	ENSMUSG00000005958
596	ENSMUSG00000005973
597	ENSMUSG00000005980
598	ENSMUSG00000005981
599	ENSMUSG00000005982
600	ENSMUSG00000005986
601	ENSMUSG00000006005
602	ENSMUSG00000006019
603	ENSMUSG00000006021
604	ENSMUSG00000006024
605	ENSMUSG00000006050
606	ENSMUSG00000006057
607	ENSMUSG00000006058
608	ENSMUSG00000006095
609	ENSMUSG00000006127
610	ENSMUSG00000006134
611	ENSMUSG00000006143
612	ENSMUSG00000006169
613	ENSMUSG00000006191
614	ENSMUSG00000006205
615	ENSMUSG00000006215
616	ENSMUSG00000006219
617	ENSMUSG00000006262
618	ENSMUSG00000006273
619	ENSMUSG00000006276
620	ENSMUSG00000006281
621	ENSMUSG00000006288
622	ENSMUSG00000006289
623	ENSMUSG00000006299
624	ENSMUSG00000006301
625	ENSMUSG00000006304
626	ENSMUSG00000006307
627	ENSMUSG00000006311
628	ENSMUSG00000006315
629	ENSMUSG00000006333
630	ENSMUSG00000006335
631	ENSMUSG00000006356
632	ENSMUSG00000006360
633	ENSMUSG00000006369
634	ENSMUSG00000006373
635	ENSMUSG00000006378
636	ENSMUSG00000006390
637	ENSMUSG00000006392
638	ENSMUSG00000006398
639	ENSMUSG00000006412
640	ENSMUSG00000006418
641	ENSMUSG00000006442
642	ENSMUSG00000006445
643	ENSMUSG00000006456
644	ENSMUSG00000006463
645	ENSMUSG00000006471
646	ENSMUSG00000006476
647	ENSMUSG00000006494
648	ENSMUSG00000006498
649	ENSMUSG00000006517
650	ENSMUSG00000006519
651	ENSMUSG00000006526
652	ENSMUSG00000006527
653	ENSMUSG00000006567
654	ENSMUSG00000006585
655	ENSMUSG00000006586
656	ENSMUSG00000006589
657	ENSMUSG00000006599
658	ENSMUSG00000006641
659	ENSMUSG00000006649
660	ENSMUSG00000006651
661	ENSMUSG00000006673
662	ENSMUSG00000006676
663	ENSMUSG00000006678
664	ENSMUSG00000006699
665	ENSMUSG00000006705
666	ENSMUSG00000006715
667	ENSMUSG00000006717
668	ENSMUSG00000006720
669	ENSMUSG00000006728
670	ENSMUSG00000006731
671	ENSMUSG00000006732
672	ENSMUSG00000006736
673	ENSMUSG00000006740
674	ENSMUSG00000006763
675	ENSMUSG00000006782
676	ENSMUSG00000006784
677	ENSMUSG00000006800
678	ENSMUSG00000006818
679	ENSMUSG00000006850
680	ENSMUSG00000006906
681	ENSMUSG00000006920
682	ENSMUSG00000006931
683	ENSMUSG00000006932
684	ENSMUSG00000006941
685	ENSMUSG00000006998
686	ENSMUSG00000007029
687	ENSMUSG00000007036
688	ENSMUSG00000007038
689	ENSMUSG00000007039
690	ENSMUSG00000007041
691	ENSMUSG00000007050
692	ENSMUSG00000007080
693	ENSMUSG00000007216
694	ENSMUSG00000007338
695	ENSMUSG00000007379
696	ENSMUSG00000007411
697	ENSMUSG00000007415
698	ENSMUSG00000007458
699	ENSMUSG00000007476
700	ENSMUSG00000007564
701	ENSMUSG00000007570
702	ENSMUSG00000007589
703	ENSMUSG00000007603
704	ENSMUSG00000007610
705	ENSMUSG00000007613
706	ENSMUSG00000007617
707	ENSMUSG00000007646
708	ENSMUSG00000007656
709	ENSMUSG00000007659
710	ENSMUSG00000007670
711	ENSMUSG00000007721
712	ENSMUSG00000007739
713	ENSMUSG00000007783
714	ENSMUSG00000007812
715	ENSMUSG00000007815
716	ENSMUSG00000007817
717	ENSMUSG00000007827
718	ENSMUSG00000007833
719	ENSMUSG00000007836
720	ENSMUSG00000007837
721	ENSMUSG00000007850
722	ENSMUSG00000007867
723	ENSMUSG00000007872
724	ENSMUSG00000007880
725	ENSMUSG00000007888
726	ENSMUSG00000007891
727	ENSMUSG00000007892
728	ENSMUSG00000007950
729	ENSMUSG00000007987
730	ENSMUSG00000007989
731	ENSMUSG00000008035
732	ENSMUSG00000008036
733	ENSMUSG00000008136
734	ENSMUSG00000008140
735	ENSMUSG00000008153
736	ENSMUSG00000008167
737	ENSMUSG00000008200
738	ENSMUSG00000008206
739	ENSMUSG00000008226
